EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,SourceFile,ResidentDataBase64,ResidentDataHex,ResidentDataASCII
29,29,True,17,17,.\WIN98,DRIVER15.CAB,.CAB,1802240,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.7338048,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9768319,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
30,30,True,17,17,.\WIN98,DRIVER16.CAB,.CAB,1802240,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.7338048,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9768431,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
31,31,True,17,17,.\WIN98,DRIVER17.CAB,.CAB,1802240,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.7638480,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9768551,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
32,32,True,17,17,.\WIN98,DRIVER18.CAB,.CAB,1802240,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.7638480,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9768663,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
33,33,True,17,17,.\WIN98,DRIVER19.CAB,.CAB,1802240,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.7638480,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9768775,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
34,34,True,17,17,.\WIN98,DRIVER20.CAB,.CAB,1796408,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.7638480,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9768887,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
35,35,True,17,17,.\WIN98,EXTRACT.EXE,.EXE,93242,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.8940352,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9769234,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
36,36,True,17,17,.\WIN98,FORMAT.COM,.COM,49575,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.8940352,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9769346,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
37,37,True,17,17,.\WIN98,INTL.TXT,.TXT,6594,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.8940352,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9769458,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
38,38,True,17,17,.\WIN98,MINI.CAB,.CAB,686042,1,,False,False,False,False,True,False,Archive,DosWindows,1999-04-23 22:22:00.0000000,,1999-04-23 22:22:00.0000000,,2004-08-19 17:02:21.8940352,1999-04-23 22:22:00.0000000,2004-08-18 00:00:00.0000000,,0,9769578,0,,,,/evidence/windows-ntfs-mft-nist/nist-hacking-case.mft,,,
